name,addresse,cat1,cat2,review_num,score_min,score,review,reviews_date,reviews_id,pyko_review,kopynlp_tokenize
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,5.0,너무너무 고소해요 소주 엄청 땡기는 맛!,2022.04.20.,배chu,너무 너무 고소해 요 소주 엄청 땡기는 맛!,"[('너무', 'Adverb'), ('너무', 'Adverb'), ('고소해', 'Adjective'), ('요', 'Noun'), ('소주', 'Noun'), ('엄청', 'Adverb'), ('땡기는', 'Verb'), ('맛', 'Noun')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,5.0,모듬곱창 신선해요 어떻게 먹어야 하는지 먹는 순서를 얘기해주셔서 더 잘 맛있게 먹을 수 있었어요,2022.04.20.,둘리둘이,모듬곱창 신선해요 어떻게 먹어야 하는지 먹는 순서를 얘기해주셔서 더 잘 맛있게 먹을 수 있었어요,"[('모', 'Modifier'), ('듬', 'Noun'), ('곱창', 'Noun'), ('신선해요', 'Adjective'), ('어떻게', 'Adjective'), ('먹어야', 'Verb'), ('하는지', 'Verb'), ('먹는', 'Verb'), ('순서', 'Noun'), ('얘기', 'Noun'), ('해주셔서', 'Verb'), ('더', 'Noun'), ('잘', 'Verb'), ('맛있게', 'Adjective'), ('먹을', 'Verb'), ('수', 'Noun'), ('있었어요', 'Adjective')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,1.0,"다 먹지도 않고, 복음밥 시키고 한숟가락 먹고 잠시 담배 피러 다녀왔는데 상치우심.. 심지어 계산도 안했는데, 말은 죄송하다고 하시는데 표정이나 말투가 1도 미안한 느낌을 못받았어요. 아니 다음에 오면 서비스 준다고 미안한데 계산하고 가라 라는 느낌이였어요. 리뷰 잘 안남기는데 진짜 기분 좋았던 일요일에 기분 잡쳤네요. 이런데 다음에 서비스 주신다고 가겠습...",2022.04.11.,James,"다 먹지도 않고, 복 음밥 시키고 한 숟가락 먹고 잠시 담배 피러 다녀왔는데 상치 우심.. 심지어 계산도 안 했는데, 말은 죄송하다고 하시는데 표정이나 말투가 1도 미안한 느낌을 못 받았어요. 아니 다음에 오면 서비스 준다고 미안한데 계산하고 가라 라는 느낌이였어요. 리뷰 잘 안 남기는데 진짜 기분 좋았던 일요일에 기분 잡쳤네요. 이런데 다음에 서비스 주신다고 가 겠습...","[('다', 'Adverb'), ('먹지도', 'Verb'), ('않고', 'Verb'), ('복', 'Noun'), ('음밥', 'Noun'), ('시키고', 'Verb'), ('한', 'Verb'), ('숟가락', 'Noun'), ('먹고', 'Verb'), ('잠시', 'Noun'), ('담배', 'Noun'), ('피러', 'Verb'), ('다녀왔는데', 'Verb'), ('상치', 'Noun'), ('우', 'Adverb'), ('심', 'Noun'), ('심지어', 'Noun'), ('계산', 'Noun'), ('안', 'Noun'), ('했는데', 'Verb'), ('말', 'Noun'), ('죄송하다고', 'Adjective'), ('하시는데', 'Verb'), ('표정', 'Noun'), ('말투', 'Noun'), ('1', 'Number'), ('도', 'Noun'), ('미안한', 'Adjective'), ('느낌', 'Noun'), ('못', 'Noun'), ('받았어요', 'Verb'), ('아니', 'Adjective'), ('다음', 'Noun'), ('오면', 'Verb'), ('서비스', 'Noun'), ('준다고', 'Verb'), ('미안한데', 'Adjective'), ('계산', 'Noun'), ('가라', 'Noun'), ('느낌이였어요', 'Verb'), ('리뷰', 'Noun'), ('잘', 'Verb'), ('안', 'Noun'), ('남기는데', 'Verb'), ('진짜', 'Noun'), ('기분', 'Noun'), ('좋았던', 'Adjective'), ('일요일', 'Noun'), ('기분', 'Noun'), ('잡', 'Noun'), ('쳤네요', 'Verb'), ('이런데', 'Adjective'), ('다음', 'Noun'), ('서비스', 'Noun'), ('주신다고', 'Verb'), ('가', 'Verb'), ('겠', 'Verb'), ('습', 'Noun')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,5.0,평일 저녁 7시쯤 갔는데 웨이팅 별로 안하고 바로 먹었어요 내부가 넓지않아서 시끌벅적 정신은 없지만 맛은 깔끔하고 좋았어요!,2022.04.06.,ㅎㅇ,평일 저녁 7시쯤 갔는데 웨이팅 별로 안하고 바로 먹었어요 내부가 넓지 않아서 시끌벅적 정신은 없지만 맛은 깔끔하고 좋았어요!,"[('평일', 'Noun'), ('저녁', 'Noun'), ('7시', 'Number'), ('갔는데', 'Verb'), ('웨이', 'Noun'), ('팅', 'Noun'), ('별로', 'Noun'), ('안', 'Noun'), ('바로', 'Noun'), ('먹었어요', 'Verb'), ('내부', 'Noun'), ('넓지', 'Adjective'), ('않아서', 'Verb'), ('시끌벅적', 'Adverb'), ('정신', 'Noun'), ('없지만', 'Adjective'), ('맛', 'Noun'), ('깔끔하고', 'Adjective'), ('좋았어요', 'Adjective')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,4.0,압곱 웨이팅 많아서 왔는데 별차이 없었음 깔끔함을 원하면 압곱 곱창집 분위기를 원하면 여기,2022.01.26.,ㅇㅅㅇㄷ,압곱 웨이팅 많아서 왔는데 별 차이 없었음 깔끔함을 원하면 압곱 곱창집 분위기를 원하면 여기,"[('압곱', 'Noun'), ('웨이', 'Noun'), ('팅', 'Noun'), ('많아서', 'Adjective'), ('왔는데', 'Verb'), ('별', 'Noun'), ('차이', 'Noun'), ('없었음', 'Adjective'), ('깔끔함을', 'Adjective'), ('원하면', 'Adjective'), ('압곱', 'Noun'), ('곱창', 'Noun'), ('집', 'Noun'), ('분위기', 'Noun'), ('원하면', 'Adjective'), ('여기', 'Noun')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,1.0,양 엄청 적은데 비해 비싸고 비계가 절반임 고기 냄새 심하게 비려서 토할거같았음 된장찌개에 날파리 들어가있었는데 직원아줌마 응대가 불친절 주방 아저씨 위생에 신경안쓰는 스타일 같아보였음 그 외에 식기며 테이블 끈적거리고 더럽고 일욜이라 사람도 별로 없고 문 다 열어놨는데도 오래 청소안한 고기기름냄새가 진동을 했음  일욜점심 고기집 문연곳이 여기밖에없어서 갔...,2021.11.26.,ㅇ,양 엄청 적은 데 비해 비싸고 비계가 절반 임 고기 냄새 심하게 비려서 토할 거 같았음 된장찌개에 날 파리 들어가 있었는데 직원 아줌마 응대가 불친절 주방 아저씨 위생에 신경 안쓰는 스타일 같아 보였음 그 외에 식기며 테이블 끈적거리고 더럽고 일욜이라 사람도 별로 없고 문 다 열어놨는데도 오래 청소 안한 고기 기름 냄새가 진동을 했음 일욜점심 고기집 문 연 곳이 여 기밖에 없어서  갔...,"[('양', 'Noun'), ('엄청', 'Adverb'), ('적은', 'Verb'), ('데', 'Noun'), ('비해', 'Verb'), ('비싸고', 'Adjective'), ('비계', 'Noun'), ('절반', 'Noun'), ('임', 'Noun'), ('고기', 'Noun'), ('냄새', 'Noun'), ('심하게', 'Adjective'), ('비려', 'Noun'), ('토', 'Noun'), ('할', 'Verb'), ('거', 'Noun'), ('같았음', 'Adjective'), ('된장찌개', 'Noun'), ('날', 'Noun'), ('파리', 'Noun'), ('들어가', 'Verb'), ('있었는데', 'Adjective'), ('직원', 'Noun'), ('아줌마', 'Noun'), ('응대', 'Noun'), ('불친절', 'Noun'), ('주방', 'Noun'), ('아저씨', 'Noun'), ('위생', 'Noun'), ('신경', 'Noun'), ('안', 'VerbPrefix'), ('쓰는', 'Verb'), ('스타일', 'Noun'), ('같아', 'Adjective'), ('보였음', 'Verb'), ('그', 'Noun'), ('외', 'Noun'), ('식기', 'Noun'), ('테이블', 'Noun'), ('끈', 'Noun'), ('적', 'Suffix'), ('거리', 'Noun'), ('더럽고', 'Adjective'), ('일욜', 'Noun'), ('사람', 'Noun'), ('별로', 'Noun'), ('없고', 'Adjective'), ('문', 'Noun'), ('다', 'Adverb'), ('열어놨는데도', 'Verb'), ('오래', 'Adverb'), ('청소', 'Noun'), ('안', 'Noun'), ('고기', 'Noun'), ('기름', 'Noun'), ('냄새', 'Noun'), ('진동', 'Noun'), ('했음', 'Verb'), ('일', 'Modifier'), ('욜', 'Noun'), ('점심', 'Noun'), ('고기', 'Noun'), ('집', 'Noun'), ('문', 'Noun'), ('연', 'Noun'), ('곳', 'Noun'), ('여', 'Noun'), ('기', 'Noun'), ('없어서', 'Adjective'), ('갔', 'Verb')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,5.0,"어제 방문했어요. 맛집이라 추천받고 가보니 이른 저녁시간에도 야외테이블은 꽉차있음. 둘이서 모듬3인분 주문했는데 주방에서 불쇼로 잡내를 날려주셔서 고소하게 즐겼어요. 마지막으로 깍두기볶음밥으로 마무리~배불러도 자꾸 손이가요 ㅎㅎ 참,,생으로 먹는 천엽과 간이 싱싱하고 고소했어요.  그리고, 친절한 알바때문에 기분 업업~ 잘먹었습니다!",2021.10.10.,✒,"어제 방문했어요. 맛집이라 추천받고 가보니 이른 저녁 시간에도 야외 테이블은 꽉 차 있음. 둘이서 모듬 3인분 주문했는데 주방에서 불쇼로 잡내를 날려주셔서 고소하게 즐겼어요. 마지막으로 깍두기 볶음밥으로 마무리~배불러도 자꾸 손이 가요 ㅎㅎ 참,, 생으로 먹는 천엽과 간이 싱싱하고 고소했어요. 그리고, 친절한 알바 때문에 기 분 업 업~ 잘 먹었습니다!","[('어제', 'Noun'), ('방문', 'Noun'), ('했어요', 'Verb'), ('맛집', 'Noun'), ('추천', 'Noun'), ('받고', 'Verb'), ('가보니', 'Verb'), ('이른', 'Verb'), ('저녁', 'Noun'), ('시간', 'Noun'), ('야외', 'Noun'), ('테이블', 'Noun'), ('꽉', 'Noun'), ('차', 'Noun'), ('있음', 'Adjective'), ('둘이서', 'Noun'), ('모듬', 'Noun'), ('3', 'Number'), ('인분', 'Noun'), ('주문', 'Noun'), ('했는데', 'Verb'), ('주방', 'Noun'), ('불쇼', 'Noun'), ('잡내를', 'Verb'), ('날려주셔서', 'Verb'), ('고소하게', 'Adjective'), ('즐겼어요', 'Verb'), ('마지막', 'Noun'), ('깍두기', 'Noun'), ('볶음밥', 'Noun'), ('마무리', 'Noun'), ('배불러도', 'Adjective'), ('자꾸', 'Noun'), ('손', 'Noun'), ('가요', 'Noun'), ('참', 'Verb'), ('생으로', 'Noun'), ('먹는', 'Verb'), ('천엽', 'Noun'), ('간이', 'Noun'), ('싱싱하고', 'Adjective'), ('고소했어요', 'Adjective'), ('그리고', 'Conjunction'), ('친절한', 'Adjective'), ('알바', 'Noun'), ('때문', 'Noun'), ('기', 'Noun'), ('분', 'Noun'), ('업', 'Noun'), ('업', 'Noun'), ('잘', 'Verb'), ('먹었습니다', 'Verb')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,1.0,진짜 최악임 주방에서는 마스크 벗고있고 양이 개적음 진짜 양이 적음 손바닥만한 판에 양파랑 곱창이랑 나오는데 양파도 적음. 환전 창렬. 별점 믿고 갔는데 다 알바였던 것임. 판이 작아서 사진으로는 양이 많아 보이는데 절대아님 질기고 맛도 없어. 심지어 사람도 없어 나 갔을 때 두테이블이었음 0점을 주고싶은대 0점이 없네 여기 갈바엔 다른데감 절가가지마,2021.08.20.,S,진짜 최악임 주방에서는 마스크 벗고 있고 양이 개적음 진짜 양이 적음 손바닥만한 판에 양파랑 곱창이랑 나오는데 양파도 적음. 환전 창렬. 별점 믿고 갔는데 다 알바였던 것임. 판이 작아서 사진으로는 양이 많아 보이는데 절대 아님 질기고 맛도 없어. 심지어 사람도 없어 나 갔을 때 두테이블이었음 0점을 주고 싶은 대 0점이 없네 여기 갈바엔 다른 데 감 절가가지마,"[('진짜', 'Noun'), ('최악', 'Noun'), ('임', 'Noun'), ('주방', 'Noun'), ('마스크', 'Noun'), ('벗고', 'Verb'), ('있고', 'Adjective'), ('양', 'Noun'), ('개', 'Noun'), ('적음', 'Verb'), ('진짜', 'Noun'), ('양', 'Noun'), ('적음', 'Verb'), ('손바닥', 'Noun'), ('만', 'Suffix'), ('판', 'Noun'), ('양파', 'Noun'), ('곱창', 'Noun'), ('나오는데', 'Verb'), ('양파', 'Noun'), ('적음', 'Verb'), ('환전', 'Noun'), ('창렬', 'Noun'), ('별', 'Modifier'), ('점', 'Noun'), ('믿고', 'Verb'), ('갔는데', 'Verb'), ('다', 'Adverb'), ('알바', 'Noun'), ('였던', 'Verb'), ('것임', 'Noun'), ('판이', 'Noun'), ('작아서', 'Adjective'), ('사진', 'Noun'), ('양', 'Noun'), ('많아', 'Adjective'), ('보이는데', 'Verb'), ('절대', 'Noun'), ('아님', 'Adjective'), ('질', 'Noun'), ('기고', 'Noun'), ('맛', 'Noun'), ('없어', 'Adjective'), ('심지어', 'Noun'), ('사람', 'Noun'), ('없어', 'Adjective'), ('나', 'Noun'), ('갔을', 'Verb'), ('때', 'Noun'), ('두', 'Determiner'), ('테이블', 'Noun'), ('이었음', 'Verb'), ('0', 'Number'), ('점', 'Noun'), ('주고', 'Verb'), ('싶은', 'Verb'), ('대', 'Verb'), ('0', 'Number'), ('점', 'Noun'), ('없네', 'Adjective'), ('여기', 'Noun'), ('갈바', 'Noun'), ('다른', 'Noun'), ('데', 'Noun'), ('감', 'Noun'), ('절', 'Noun'), ('가지마', 'Verb')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,5.0,곱창 잡내나는거 못먹는데 여기는 진짜 잡내하나도 없고 너무 맛있게 먹었어요! 곱도 실하고 친절하시고 재방문100프로 입니다!,2021.07.01.,이수빈,곱창 잡내나는 거 못 먹는데 여기는 진짜 잡 내 하나도 없고 너무 맛있게 먹었어요! 곱도 실하고 친절하시고 재방문 100 프로 입니다!,"[('곱창', 'Noun'), ('잡내나는', 'Verb'), ('거', 'Noun'), ('못', 'Noun'), ('먹는데', 'Verb'), ('여기는', 'Verb'), ('진짜', 'Noun'), ('잡', 'Noun'), ('내', 'Noun'), ('하나', 'Noun'), ('없고', 'Adjective'), ('너무', 'Adverb'), ('맛있게', 'Adjective'), ('먹었어요', 'Verb'), ('곱', 'Noun'), ('실하고', 'Adjective'), ('친절하시고', 'Adjective'), ('재', 'Noun'), ('방문', 'Noun'), ('100', 'Number'), ('프로', 'Noun'), ('입니다', 'Adjective')]"
장다리,서울 강남구 압구정로46길 5-14 1층 (우)06018,"곱창,막창","['한우특양구이 (180g)\n23,000', '대창.막창 (180g)\n20,000', '원조소곱창 (180g)\n21,000', '곱창전골 (소)\n20,000', '한우숙주차돌구이 (150g)\n25,000']",154,4.4,5.0,"냄새도 하나안나고,부드럽고,곱이 꽉차서 맛있게 잘먹었습니다.친절해서 좋아요.",2021.07.01.,sh,"냄새도 하나 안나고, 부드럽고, 곱이 꽉 차서 맛있게 잘 먹었습니다. 친절해서 좋아요.","[('냄새', 'Noun'), ('하나', 'Noun'), ('안나', 'Noun'), ('부드럽고', 'Adjective'), ('곱', 'Noun'), ('꽉', 'Noun'), ('차서', 'Noun'), ('맛있게', 'Adjective'), ('잘', 'Verb'), ('먹었습니다', 'Verb'), ('친절해서', 'Adjective'), ('좋아요', 'Adjective')]"
